time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
1830,32.62708641,0.761418615,11.78976507,11.78976507
1860,34.22909276,0.7691123557,11.78866414,11.78866414
1890,35.96083167,0.7766838075,11.79154783,11.79154783
1920,37.87617457,0.7841484182,11.79156004,11.79156004
1950,40.00140488,0.7915432135,11.79030818,11.79030818
1980,42.38468626,0.7988622221,11.79323527,11.79323527
2010,45.0516706,0.8060932088,11.79315492,11.79315492
2040,48.04260861,0.813244544,11.79175491,11.79175491
2070,51.42917316,0.8203181201,11.79270872,11.79270872
2100,55.23774888,0.8273155255,11.78949008,11.78949008
2130,59.52806372,0.8342375069,11.79193629,11.79193629
